INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00001', 'ST0002', TO_TIMESTAMP('2025-01-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00135', 'ST0215', TO_TIMESTAMP('2025-06-26 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00136', 'ST0260', TO_TIMESTAMP('2025-06-27 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00137', 'ST0304', TO_TIMESTAMP('2025-06-28 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00138', 'ST0306', TO_TIMESTAMP('2025-06-29 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00139', 'ST0365', TO_TIMESTAMP('2025-09-22 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00140', 'ST0375', TO_TIMESTAMP('2025-06-30 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00141', 'ST0377', TO_TIMESTAMP('2025-07-01 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00142', 'ST0390', TO_TIMESTAMP('2025-07-02 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00143', 'ST0399', TO_TIMESTAMP('2025-07-03 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00144', 'ST0407', TO_TIMESTAMP('2025-09-24 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00145', 'ST0427', TO_TIMESTAMP('2025-07-04 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00146', 'ST0480', TO_TIMESTAMP('2025-07-05 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00147', 'ST0002', TO_TIMESTAMP('2025-07-06 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00148', 'ST0009', TO_TIMESTAMP('2025-07-07 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00149', 'ST0034', TO_TIMESTAMP('2025-09-25 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00150', 'ST0055', TO_TIMESTAMP('2025-07-08 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00151', 'ST0096', TO_TIMESTAMP('2025-07-09 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00152', 'ST0097', TO_TIMESTAMP('2025-07-10 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00153', 'ST0099', TO_TIMESTAMP('2025-07-11 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00154', 'ST0108', TO_TIMESTAMP('2025-09-26 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00155', 'ST0129', TO_TIMESTAMP('2025-07-12 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00156', 'ST0157', TO_TIMESTAMP('2025-07-13 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00157', 'ST0160', TO_TIMESTAMP('2025-07-14 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00158', 'ST0180', TO_TIMESTAMP('2025-07-15 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00159', 'ST0215', TO_TIMESTAMP('2025-09-26 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00160', 'ST0260', TO_TIMESTAMP('2025-07-16 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00161', 'ST0304', TO_TIMESTAMP('2025-07-17 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00162', 'ST0306', TO_TIMESTAMP('2025-07-18 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00163', 'ST0365', TO_TIMESTAMP('2025-07-19 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00164', 'ST0375', TO_TIMESTAMP('2025-09-28 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00165', 'ST0377', TO_TIMESTAMP('2025-07-20 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00166', 'ST0390', TO_TIMESTAMP('2025-07-21 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00167', 'ST0399', TO_TIMESTAMP('2025-07-22 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00168', 'ST0407', TO_TIMESTAMP('2025-07-23 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00169', 'ST0427', TO_TIMESTAMP('2025-09-29 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00170', 'ST0480', TO_TIMESTAMP('2025-07-24 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00171', 'ST0002', TO_TIMESTAMP('2025-07-25 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00172', 'ST0009', TO_TIMESTAMP('2025-07-26 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00173', 'ST0034', TO_TIMESTAMP('2025-07-27 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00174', 'ST0055', TO_TIMESTAMP('2025-09-30 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00175', 'ST0096', TO_TIMESTAMP('2025-07-28 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00176', 'ST0097', TO_TIMESTAMP('2025-07-29 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00177', 'ST0099', TO_TIMESTAMP('2025-07-30 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00178', 'ST0108', TO_TIMESTAMP('2025-07-31 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00179', 'ST0129', TO_TIMESTAMP('2025-09-30 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00180', 'ST0157', TO_TIMESTAMP('2025-08-01 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00181', 'ST0160', TO_TIMESTAMP('2025-08-02 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00182', 'ST0180', TO_TIMESTAMP('2025-08-03 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00183', 'ST0215', TO_TIMESTAMP('2025-08-04 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00184', 'ST0260', TO_TIMESTAMP('2025-10-02 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00185', 'ST0304', TO_TIMESTAMP('2025-08-05 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00186', 'ST0306', TO_TIMESTAMP('2025-08-06 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00187', 'ST0365', TO_TIMESTAMP('2025-08-07 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00188', 'ST0375', TO_TIMESTAMP('2025-08-08 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00189', 'ST0377', TO_TIMESTAMP('2025-10-03 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00190', 'ST0390', TO_TIMESTAMP('2025-08-09 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00191', 'ST0399', TO_TIMESTAMP('2025-08-10 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00192', 'ST0407', TO_TIMESTAMP('2025-08-11 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00193', 'ST0427', TO_TIMESTAMP('2025-08-12 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00194', 'ST0480', TO_TIMESTAMP('2025-10-04 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00195', 'ST0002', TO_TIMESTAMP('2025-08-13 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00196', 'ST0009', TO_TIMESTAMP('2025-08-14 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00197', 'ST0034', TO_TIMESTAMP('2025-08-15 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00198', 'ST0055', TO_TIMESTAMP('2025-08-16 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00199', 'ST0096', TO_TIMESTAMP('2025-10-04 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00200', 'ST0097', TO_TIMESTAMP('2025-08-17 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00201', 'ST0099', TO_TIMESTAMP('2025-08-18 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00202', 'ST0108', TO_TIMESTAMP('2025-08-19 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00203', 'ST0129', TO_TIMESTAMP('2025-08-20 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00204', 'ST0157', TO_TIMESTAMP('2025-10-06 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00205', 'ST0160', TO_TIMESTAMP('2025-08-21 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00206', 'ST0180', TO_TIMESTAMP('2025-08-22 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00207', 'ST0215', TO_TIMESTAMP('2025-08-23 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00208', 'ST0260', TO_TIMESTAMP('2025-08-24 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00209', 'ST0304', TO_TIMESTAMP('2025-10-07 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00210', 'ST0306', TO_TIMESTAMP('2025-08-25 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00211', 'ST0002', TO_TIMESTAMP('2025-04-01 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00212', 'ST0009', TO_TIMESTAMP('2025-04-02 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00213', 'ST0034', TO_TIMESTAMP('2025-04-03 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00214', 'ST0055', TO_TIMESTAMP('2025-09-01 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00215', 'ST0096', TO_TIMESTAMP('2025-04-04 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00216', 'ST0097', TO_TIMESTAMP('2025-04-05 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00217', 'ST0099', TO_TIMESTAMP('2025-04-06 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00218', 'ST0108', TO_TIMESTAMP('2025-04-07 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00219', 'ST0129', TO_TIMESTAMP('2025-09-02 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00220', 'ST0157', TO_TIMESTAMP('2025-04-08 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00221', 'ST0160', TO_TIMESTAMP('2025-04-09 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00222', 'ST0180', TO_TIMESTAMP('2025-04-10 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00223', 'ST0215', TO_TIMESTAMP('2025-04-11 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00224', 'ST0260', TO_TIMESTAMP('2025-09-03 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00225', 'ST0304', TO_TIMESTAMP('2025-04-12 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00226', 'ST0306', TO_TIMESTAMP('2025-04-13 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00227', 'ST0365', TO_TIMESTAMP('2025-04-14 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00228', 'ST0375', TO_TIMESTAMP('2025-04-15 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00229', 'ST0377', TO_TIMESTAMP('2025-09-03 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00230', 'ST0390', TO_TIMESTAMP('2025-04-16 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00231', 'ST0399', TO_TIMESTAMP('2025-04-17 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00232', 'ST0407', TO_TIMESTAMP('2025-04-18 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00233', 'ST0427', TO_TIMESTAMP('2025-04-19 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00234', 'ST0480', TO_TIMESTAMP('2025-09-05 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00235', 'ST0002', TO_TIMESTAMP('2025-04-20 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00236', 'ST0009', TO_TIMESTAMP('2025-04-21 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00237', 'ST0034', TO_TIMESTAMP('2025-04-22 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00238', 'ST0055', TO_TIMESTAMP('2025-04-23 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00239', 'ST0096', TO_TIMESTAMP('2025-09-06 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00240', 'ST0097', TO_TIMESTAMP('2025-04-24 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00241', 'ST0099', TO_TIMESTAMP('2025-04-25 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00242', 'ST0108', TO_TIMESTAMP('2025-04-26 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00243', 'ST0129', TO_TIMESTAMP('2025-04-27 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00244', 'ST0157', TO_TIMESTAMP('2025-09-07 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00245', 'ST0160', TO_TIMESTAMP('2025-04-28 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00246', 'ST0180', TO_TIMESTAMP('2025-04-29 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00247', 'ST0215', TO_TIMESTAMP('2025-04-30 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00248', 'ST0260', TO_TIMESTAMP('2025-05-01 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00249', 'ST0304', TO_TIMESTAMP('2025-09-07 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00250', 'ST0306', TO_TIMESTAMP('2025-05-02 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00251', 'ST0365', TO_TIMESTAMP('2025-05-03 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00252', 'ST0375', TO_TIMESTAMP('2025-05-04 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00253', 'ST0377', TO_TIMESTAMP('2025-05-05 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00254', 'ST0390', TO_TIMESTAMP('2025-09-08 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00255', 'ST0399', TO_TIMESTAMP('2025-05-06 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00256', 'ST0407', TO_TIMESTAMP('2025-05-07 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00257', 'ST0427', TO_TIMESTAMP('2025-05-08 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00258', 'ST0480', TO_TIMESTAMP('2025-05-09 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00259', 'ST0002', TO_TIMESTAMP('2025-09-09 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00260', 'ST0009', TO_TIMESTAMP('2025-05-10 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00261', 'ST0034', TO_TIMESTAMP('2025-05-11 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00262', 'ST0055', TO_TIMESTAMP('2025-05-12 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00263', 'ST0096', TO_TIMESTAMP('2025-05-13 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00264', 'ST0097', TO_TIMESTAMP('2025-09-10 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00265', 'ST0099', TO_TIMESTAMP('2025-05-14 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00266', 'ST0108', TO_TIMESTAMP('2025-05-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00267', 'ST0129', TO_TIMESTAMP('2025-05-16 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00268', 'ST0157', TO_TIMESTAMP('2025-05-17 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
